item,count,suggested_standard_name,is_food_guess,standard_name,is_food
Ademe,1,Ademe,TRUE,Ademe,NO
Adja,9,Adja,TRUE,Adja,YES
Adja 2,1,Adja 2,TRUE,Adja,YES
Adja 4,3,Adja 4,TRUE,Adja,YES
Adja Jollof,2,Adja Jollof,TRUE,Adja,YES
Adjis,1,Adjis,TRUE,Adja,YES
Airtime,14,Airtime,FALSE,Airtime,NO
Ajinomoto,1,Ajinomoto,TRUE,Ajinomoto,NO
All seasonings,1,All seasonings,TRUE,Spices Mixture,YES
Alomo,1,Alomo,TRUE,Alomo,NO
Aluminium bowl,1,Aluminium Bowl,FALSE,Medium Silver Bowl,NO
Aluminium Bowl,2,Aluminium Bowl,FALSE,Medium Silver Bowl,NO
Aluminium Foil bowl,1,Aluminuim Foil Bowl,FALSE,Medium Silver Bowl,NO
Aluminium Foil Bowl,1,Aluminuim Foil Bowl,FALSE,Medium Silver Bowl,NO
Aluminuim Foil Bowl,1,Aluminuim Foil Bowl,FALSE,Medium Silver Bowl,NO
Ama rice,1,Ama Rice,TRUE,Rice,YES
Ama Rice,2,Ama Rice,TRUE,Rice,YES
Amane,8,Amane,TRUE,Amane,NO
Anapuna salt,1,Anapuna salt,TRUE,Salt,YES
Anguwana beef,1,Anguwana beef,TRUE,Angwamo Beef,YES
Angwamo beef,12,Angwamo beef,TRUE,Angwamo Beef,YES
Arsa,1,Arsa,TRUE,Chef Salary,NO
Artificial leaves carpet,1,Artificial leaves carpet,FALSE,Carpet,NO
Baked beans,1,Baked beans,TRUE,Baked Beans,YES
Baking soda,2,Baking soda,TRUE,Baking Soda,YES
Banana,14,Banana,TRUE,Banana,YES
Banner & menu printing,1,Banner & menu printing,FALSE,Banner,NO
Banner transport,1,Banner transport,FALSE,Banner,NO
Basket,1,Basket,FALSE,Basket,NO
Bay leaves,1,Bay leaves,TRUE,Bay Leaves,YES
Bay Leaves Mixture,1,Bay Leaves Mixture,TRUE,Spices Mixture,YES
Beans,1,Beans,TRUE,Beans,YES
Beef,4,Beef,TRUE,Boneless Beef,YES
Beetroot,1,Beetroot,TRUE,Beetroot,YES
Bel-Aqua,1,Bel-Aqua,TRUE,Bottle Water,NO
Big black bowl,5,Big black bowl,FALSE,Large Black Bowl,NO
Big Black bowl,2,Big black bowl,FALSE,Large Black Bowl,NO
Big Black Bowl,1,Big black bowl,FALSE,Large Black Bowl,NO
Big Black rubber,1,Big Black rubber,FALSE,Borla Rubber,NO
Big cup,1,Big cup,FALSE,Disposable Cup,NO
Big foil bowl,2,Big foil bowl,FALSE,Large Silver Bowl,NO
Big Foil bowl,1,Big foil bowl,FALSE,Large Silver Bowl,NO
Big Foil Bowl,1,Big foil bowl,FALSE,Large Silver Bowl,NO
Big plastic bowl,1,Big plastic bowl,FALSE,Large Black Bowl,NO
Big rubber,1,Big rubber,FALSE,Borla Rubber,NO
Bine,2,Bine,TRUE,Washing Powder,NO
Black bowl,1,Black bowl,FALSE,Large Black Bowl,NO
Black Disposable Bowl,2,Black Disposable Bowl,FALSE,Large Black Bowl,NO
Black Disposable Bowl Mini,1,Black Disposable Bowl,FALSE,Large Black Bowl,NO
Black long rubber,1,Black long rubber,FALSE,Borla Rubber,NO
Black pastic bowl,1,Black plastic bowl,FALSE,Large Black Bowl,NO
Black pepper,1,Black pepper,TRUE,Black Pepper,YES
Black plastic bowl,8,Black plastic bowl,FALSE,Large Black Bowl,NO
Black Plastic Bowl,1,Black plastic bowl,FALSE,Large Black Bowl,NO
Black rubber,1,Big Black rubber,FALSE,Borla Rubber,NO
Blender Fixing,1,Blender Fixing,FALSE,Blender Fixing,NO
Blending,1,Blending,TRUE,Blender Fixing,NO
Boneless beef,30,Boneless beef,TRUE,Boneless Beef,YES
Borla,25,Borla,TRUE,Borla,NO
Borla ,1,Borla,TRUE,Borla,NO
Borla rubber,5,Borla rubber,FALSE,Borla Rubber,NO
Borla Rubber,1,Borla rubber,FALSE,Borla Rubber,NO
Bowls,3,Bowls,FALSE,Large Black Bowl,NO
Brandings sticker,1,Brandings sticker,FALSE,Stickers,NO
Bread,3,Bread,TRUE,Bread,NO
Burger bowl,2,Burger bowl,FALSE,Burger Bowl,NO
Burger cutter,1,Burger cutter,TRUE,Burger cutter,NO
Cabbage,65,Cabbage,TRUE,Cabbage,YES
Canned beef,1,Canned beef,TRUE,Canned Beef,YES
Carpenter Charge,1,Carpenter Charge,FALSE,Carpenter,NO
Carpet,1,Carpet,FALSE,Carpet,NO
Carpet TNT,1,Carpet TNT,FALSE,Carpet,NO
Carrot,17,Carrots,TRUE,Carrots,YES
Carrots,30,Carrots,TRUE,Carrots,YES
Chair,1,Chair,FALSE,Chair,NO
Charger,1,Charger,TRUE,Charger,NO
